"filename", "language", "C#", "comment", "blank", "total"
"e:\Github\erumperem\Assets\_Project\Scripts\Token\Addressables Service\AddressablesService.cs", "C#", 67, 0, 14, 81
"e:\Github\erumperem\Assets\_Project\Scripts\Token\Concrete Implementations\Container\TokenContainerController.cs", "C#", 248, 104, 50, 402
"e:\Github\erumperem\Assets\_Project\Scripts\Token\Concrete Implementations\Container\TokenContainerModel.cs", "C#", 14, 6, 1, 21
"e:\Github\erumperem\Assets\_Project\Scripts\Token\Concrete Implementations\Container\TokenContainerView.cs", "C#", 69, 19, 16, 104
"e:\Github\erumperem\Assets\_Project\Scripts\Token\Concrete Implementations\TokenController.cs", "C#", 26, 0, 5, 31
"e:\Github\erumperem\Assets\_Project\Scripts\Token\Concrete Implementations\TokenModel.cs", "C#", 28, 0, 4, 32
"e:\Github\erumperem\Assets\_Project\Scripts\Token\Concrete Implementations\TokenView.cs", "C#", 0, 0, 1, 1
"e:\Github\erumperem\Assets\_Project\Scripts\Token\Concrete Implementations\Tokens\AcidToken.cs", "C#", 13, 7, 2, 22
"e:\Github\erumperem\Assets\_Project\Scripts\Token\Concrete Implementations\Tokens\AlchemyToken.cs", "C#", 26, 8, 3, 37
"e:\Github\erumperem\Assets\_Project\Scripts\Token\Concrete Implementations\Tokens\ArmorToken.cs", "C#", 13, 7, 2, 22
"e:\Github\erumperem\Assets\_Project\Scripts\Token\Concrete Implementations\Tokens\AshToken.cs", "C#", 20, 7, 5, 32
"e:\Github\erumperem\Assets\_Project\Scripts\Token\Concrete Implementations\Tokens\BleedToken.cs", "C#", 20, 7, 5, 32
"e:\Github\erumperem\Assets\_Project\Scripts\Token\Concrete Implementations\Tokens\BurningStatusToken.cs", "C#", 18, 7, 5, 30
"e:\Github\erumperem\Assets\_Project\Scripts\Token\Concrete Implementations\Tokens\ChaoticAuraToken.cs", "C#", 21, 7, 5, 33
"e:\Github\erumperem\Assets\_Project\Scripts\Token\Concrete Implementations\Tokens\ContagionToken.cs", "C#", 26, 8, 5, 39
"e:\Github\erumperem\Assets\_Project\Scripts\Token\Concrete Implementations\Tokens\CorruptionToken.cs", "C#", 30, 8, 6, 44
